,state,action_space,reward,Q,action
809,"[0, 1]",l,0,0.0,3
810,"[0, 1]",r,0,0.0,2
811,"[1, 1]",l,0,0.0,3
812,"[0, 1]",r,0,0.0,2
813,"[1, 1]",u,0,0.0,0
814,"[1, 0]",r,0,0.0,2
815,"[2, 0]",d,0,0.0,1
816,"[2, 1]",u,0,0.0,0
817,"[2, 0]",u,0,0.0,0
818,"[2, 0]",l,0,0.0,3
819,"[1, 0]",d,0,0.0,1
820,"[1, 1]",u,0,0.0,0
821,"[1, 0]",l,0,0.0,3
822,"[0, 0]",u,0,0.0,0
823,"[0, 0]",u,0,0.0,0
824,"[0, 0]",u,0,0.0,0
825,"[0, 0]",u,0,0.0,0
826,"[0, 0]",d,0,0.0,1
827,"[0, 1]",l,0,0.0,3
828,"[0, 1]",l,0,0.0,3
829,"[0, 1]",r,0,0.0,2
830,"[1, 1]",r,0,0.0,2
831,"[2, 1]",l,0,0.0,3
832,"[1, 1]",l,0,0.0,3
833,"[0, 1]",u,0,0.0,0
834,"[0, 0]",d,0,0.0,1
835,"[0, 1]",r,0,0.0,2
836,"[1, 1]",l,0,0.0,3
837,"[0, 1]",l,0,0.0,3
838,"[0, 1]",u,0,0.0,0
839,"[0, 0]",u,0,0.0,0
840,"[0, 0]",l,0,0.0,3
841,"[0, 0]",d,0,0.0,1
842,"[0, 1]",u,0,0.0,0
843,"[0, 0]",u,0,0.0,0
844,"[0, 0]",d,0,0.0,1
845,"[0, 1]",r,0,0.0,2
846,"[1, 1]",r,0,0.0,2
847,"[2, 1]",l,0,0.0,3
848,"[1, 1]",r,0,0.0,2
849,"[2, 1]",u,0,0.0,0
850,"[2, 0]",l,0,0.0,3
851,"[1, 0]",u,0,0.0,0
852,"[1, 0]",d,0,0.0,1
853,"[1, 1]",l,0,0.0,3
854,"[0, 1]",u,0,0.0,0
855,"[0, 0]",l,0,0.0,3
856,"[0, 0]",d,0,0.0,1
857,"[0, 1]",u,0,0.0,0
858,"[0, 0]",l,0,0.0,3
859,"[0, 0]",r,0,0.0,2
860,"[1, 0]",d,0,0.0,1
861,"[1, 1]",l,0,0.0,3
862,"[0, 1]",u,0,0.0,0
863,"[0, 0]",r,0,0.0,2
864,"[1, 0]",u,0,0.0,0
865,"[1, 0]",u,0,0.0,0
866,"[1, 0]",r,0,0.0,2
867,"[2, 0]",u,0,0.0,0
868,"[2, 0]",d,0,0.0,1
869,"[2, 1]",l,0,0.0,3
870,"[1, 1]",l,0,0.0,3
871,"[0, 1]",l,0,0.0,3
872,"[0, 1]",u,0,0.0,0
873,"[0, 0]",d,0,0.0,1
874,"[0, 1]",u,0,0.0,0
875,"[0, 0]",r,0,0.0,2
876,"[1, 0]",l,0,0.0,3
877,"[0, 0]",d,0,0.0,1
878,"[0, 1]",l,0,0.0,3
879,"[0, 1]",l,0,0.0,3
880,"[0, 1]",r,0,0.0,2
881,"[1, 1]",r,0,0.0,2
882,"[2, 1]",d,0,8.100000000000001e-07,1
883,"[2, 2]",r,0,0.0002682,2
884,"[3, 2]",r,1,0.029701,2
885,"[0, 0]",d,0,0.0,1
886,"[0, 1]",r,0,0.0,2
887,"[1, 1]",u,0,0.0,0
888,"[1, 0]",r,0,0.0,2
889,"[2, 0]",l,0,0.0,3
890,"[1, 0]",d,0,0.0,1
891,"[1, 1]",r,0,7.290000000000002e-09,2
892,"[2, 1]",d,0,3.2157000000000004e-06,1
893,"[2, 2]",r,0,0.000532827,2
894,"[3, 2]",r,1,0.03940399,2
895,"[0, 0]",u,0,0.0,0
896,"[0, 0]",d,0,0.0,1
897,"[0, 1]",l,0,0.0,3
898,"[0, 1]",u,0,0.0,0
899,"[0, 0]",r,0,0.0,2
900,"[1, 0]",l,0,0.0,3
901,"[0, 0]",l,0,0.0,3
902,"[0, 0]",r,0,0.0,2
903,"[1, 0]",r,0,0.0,2
904,"[2, 0]",d,0,2.8941300000000004e-08,1
905,"[2, 1]",d,0,7.978986000000001e-06,1
906,"[2, 2]",r,0,0.0008821346400000001,2
907,"[3, 2]",r,1,0.0490099501,2
908,"[0, 0]",l,0,0.0,3
909,"[0, 0]",r,0,0.0,2
910,"[1, 0]",u,0,0.0,0
911,"[1, 0]",u,0,0.0,0
912,"[1, 0]",r,0,2.6047170000000006e-10,2
913,"[2, 0]",r,-1,-0.029701,2
914,"[0, 0]",r,0,2.3442453000000008e-12,2
915,"[1, 0]",r,0,5.18338683e-10,2
916,"[2, 0]",d,0,1.0046276100000002e-07,1
917,"[2, 1]",d,0,1.5838407900000004e-05,1
918,"[2, 2]",r,0,0.0013144028445,2
919,"[3, 2]",u,-1,-0.0199,0
920,"[0, 0]",r,0,6.985850994000001e-12,2
921,"[1, 0]",r,0,1.4173201451700002e-09,2
922,"[2, 0]",d,0,2.420038044900001e-07,1
923,"[2, 1]",d,0,2.7509649421500006e-05,1
924,"[2, 2]",r,0,0.0017423483669550001,2
925,"[3, 2]",r,1,0.058519850599,2
926,"[0, 0]",r,0,1.9671873790590004e-11,2
927,"[1, 0]",l,0,1.7704686411531003e-13,3
928,"[0, 0]",r,0,3.223103635921411e-11,2
929,"[1, 0]",r,0,3.5811811841283014e-09,2
930,"[2, 0]",d,0,4.871706112386002e-07,1
931,"[2, 1]",d,0,4.2915688229880006e-05,1
932,"[2, 2]",r,0,0.0022516035386764503,2
933,"[3, 2]",r,1,0.06793465209301,2
934,"[0, 0]",r,0,6.413935665277668e-11,2
935,"[1, 0]",r,0,7.92990487343442e-09,2
936,"[2, 0]",d,0,8.685400991951343e-07,1
937,"[2, 1]",d,0,6.275096319566925e-05,1
938,"[2, 2]",r,0,0.002840499372126776,2
939,"[3, 2]",r,1,0.07725530557207991,2
940,"[0, 0]",r,0,1.348671069471587e-10,2
941,"[1, 0]",r,0,1.5667466717456282e-08,2
942,"[2, 0]",d,0,1.4246133669642063e-06,1
943,"[2, 1]",d,0,8.768794791285355e-05,1
944,"[2, 2]",r,0,0.0035073921285542274,2
945,"[3, 2]",r,1,0.0864827525163591,2
946,"[0, 0]",r,0,2.7452563633479367e-10,2
947,"[1, 0]",r,0,2.8332312352959577e-08,2
948,"[2, 0]",d,0,2.199558764510246e-06,1
949,"[2, 1]",d,0,0.00011837759759071306,1
950,"[2, 2]",r,0,0.004250662979915917,2
951,"[3, 2]",r,1,0.09561792499119551,2
952,"[0, 0]",r,0,5.26771191148082e-10,2
953,"[1, 0]",r,0,4.7845018110022196e-08,2
954,"[2, 0]",d,0,3.242961555181561e-06,1
955,"[2, 1]",d,0,0.0001554497884340492,1
956,"[2, 2]",r,0,0.0050687176750375176,2
957,"[3, 2]",r,1,0.10466174574128355,2
958,"[0, 0]",r,0,9.521086422268009e-10,2
959,"[1, 0]",r,0,7.655322192555603e-08,2
960,"[2, 0]",d,0,4.609580035536188e-06,1
961,"[2, 1]",d,0,0.00019951374962504635,1
962,"[2, 2]",u,0,1.7956237466254171e-06,0
963,"[2, 1]",d,0,0.00024313707120413356,1
964,"[2, 2]",r,0,0.005959986209958694,2
965,"[3, 2]",r,1,0.11361512828387071,2
966,"[0, 0]",r,0,1.6315665531345372e-09,2
967,"[1, 0]",r,0,1.1727391002612616e-07,2
968,"[2, 0]",l,0,1.0554651902351356e-09,3
969,"[1, 0]",r,0,1.575873912456906e-07,2
970,"[2, 0]",d,0,6.751717876018028e-06,1
971,"[2, 1]",d,0,0.00029434557638172046,1
972,"[2, 2]",r,0,0.0069229225024139435,2
973,"[3, 2]",r,1,0.12247897700103201,2
974,"[0, 0]",r,0,3.033537408814407e-09,2
975,"[1, 0]",u,0,1.4182865212112154e-09,0
976,"[1, 0]",r,0,2.1677697821739594e-07,2
977,"[2, 0]",d,0,9.333310884693333e-06,1
978,"[2, 1]",d,0,0.00035370842313962875,1
979,"[2, 2]",r,0,0.007956004070399092,2
980,"[3, 2]",r,1,0.1312541872310217,2
981,"[0, 0]",r,0,4.954194838682827e-09,2
982,"[1, 0]",r,0,2.98609006397462e-07,2
983,"[2, 0]",d,0,1.2423353584103058e-05,1
984,"[2, 1]",r,-1,-0.03940399,2
985,"[0, 0]",r,0,7.592133947873156e-09,2
986,"[1, 0]",r,0,4.074330985904149e-07,2
987,"[2, 0]",d,0,1.5482495856518685e-05,1
988,"[2, 1]",d,0,0.0004217753755418243,1
989,"[2, 2]",r,0,0.009057731714774296,2
990,"[3, 2]",r,1,0.13994164535871148,2
991,"[0, 0]",r,0,1.1183110495708159e-08,2
992,"[1, 0]",r,0,5.427012303131789e-07,2
993,"[2, 0]",d,0,1.912364927782992e-05,1
