,state,action_space,reward,Q,action
6062,"[0, 0]",u,0,-5.200288100096324e-05,0
6063,"[0, 0]",u,0,-5.195087811996227e-05,0
6064,"[0, 0]",u,0,-5.189892724184231e-05,0
6065,"[0, 0]",u,0,-5.184702831460047e-05,0
6066,"[0, 0]",u,0,-5.179518128628587e-05,0
6067,"[0, 0]",u,0,-5.1743386104999585e-05,0
6068,"[0, 0]",u,0,-5.169164271889458e-05,0
6069,"[0, 0]",u,0,-5.1639951076175685e-05,0
6070,"[0, 0]",u,0,-5.158831112509951e-05,0
6071,"[0, 0]",u,0,-5.153672281397441e-05,0
6072,"[0, 0]",u,0,-5.148518609116043e-05,0
6073,"[0, 0]",u,0,-5.144995093404821e-05,0
6074,"[0, 0]",r,0,-5.709586209029091e-05,2
6075,"[1, 0]",d,0,-0.00047728001878908575,1
6076,"[1, 1]",u,0,-1.110528461359061e-05,0
6077,"[1, 0]",l,0,-4.46559189146306e-05,3
6078,"[0, 0]",u,0,-5.139850098311416e-05,0
6079,"[0, 0]",u,0,-5.1347102482131046e-05,0
6080,"[0, 0]",u,0,-5.1295755379648916e-05,0
6081,"[0, 0]",u,0,-5.124445962426927e-05,0
6082,"[0, 0]",u,0,-5.1193215164644995e-05,0
6083,"[0, 0]",u,0,-5.114202194948035e-05,0
6084,"[0, 0]",u,0,-5.109087992753087e-05,0
6085,"[0, 0]",u,0,-5.103978904760334e-05,0
6086,"[0, 0]",u,0,-5.098874925855574e-05,0
6087,"[0, 0]",u,0,-5.0937760509297183e-05,0
6088,"[0, 0]",u,0,-5.088682274878789e-05,0
6089,"[0, 0]",u,0,-5.08359359260391e-05,0
6090,"[0, 0]",u,0,-5.078509999011306e-05,0
6091,"[0, 0]",u,0,-5.073431489012295e-05,0
6092,"[0, 0]",u,0,-5.0740834500034333e-05,0
6093,"[0, 0]",r,0,-5.7021095740269826e-05,2
6094,"[1, 0]",r,0,-5.469740076958255e-05,2
6095,"[2, 0]",l,0,-1.318951025427602e-05,3
6096,"[1, 0]",l,0,-4.46660272359846e-05,3
6097,"[0, 0]",u,0,-5.06900936655343e-05,0
6098,"[0, 0]",u,0,-5.063940357186876e-05,0
6099,"[0, 0]",u,0,-5.0588764168296896e-05,0
6100,"[0, 0]",u,0,-5.0538175404128596e-05,0
6101,"[0, 0]",u,0,-5.0487637228724465e-05,0
6102,"[0, 0]",u,0,-5.043714959149574e-05,0
6103,"[0, 0]",u,0,-5.038671244190424e-05,0
6104,"[0, 0]",u,0,-5.033632572946234e-05,0
6105,"[0, 0]",u,0,-5.0285989403732877e-05,0
6106,"[0, 0]",u,0,-5.023570341432915e-05,0
6107,"[0, 0]",u,0,-5.018546771091482e-05,0
6108,"[0, 0]",u,0,-5.0135282243203906e-05,0
6109,"[0, 0]",u,0,-5.00851469609607e-05,0
6110,"[0, 0]",u,0,-5.003506181399974e-05,0
6111,"[0, 0]",u,0,-4.9985026752185736e-05,0
6112,"[0, 0]",u,0,-4.993504172543355e-05,0
6113,"[0, 0]",u,0,-4.988510668370811e-05,0
6114,"[0, 0]",u,0,-4.983522157702441e-05,0
6115,"[0, 0]",u,0,-4.978538635544738e-05,0
6116,"[0, 0]",u,0,-4.973560096909193e-05,0
6117,"[0, 0]",u,0,-4.968586536812284e-05,0
6118,"[0, 0]",u,0,-4.963617950275472e-05,0
6119,"[0, 0]",u,0,-4.9586543323251965e-05,0
6120,"[0, 0]",u,0,-4.953695677992871e-05,0
6121,"[0, 0]",u,0,-4.948741982314878e-05,0
6122,"[0, 0]",u,0,-4.943793240332563e-05,0
6123,"[0, 0]",u,0,-4.9388494470922306e-05,0
6124,"[0, 0]",u,0,-4.9339105976451386e-05,0
6125,"[0, 0]",u,0,-4.9289766870474934e-05,0
6126,"[0, 0]",u,0,-4.9240477103604457e-05,0
6127,"[0, 0]",u,0,-4.9191236626500855e-05,0
6128,"[0, 0]",u,0,-4.914204538987435e-05,0
6129,"[0, 0]",u,0,-4.909290334448448e-05,0
6130,"[0, 0]",u,0,-4.904381044113999e-05,0
6131,"[0, 0]",u,0,-4.899476663069885e-05,0
6132,"[0, 0]",u,0,-4.894577186406815e-05,0
6133,"[0, 0]",u,0,-4.8896826092204083e-05,0
6134,"[0, 0]",u,0,-4.8847929266111877e-05,0
6135,"[0, 0]",u,0,-4.8799081336845765e-05,0
6136,"[0, 0]",u,0,-4.878373145651298e-05,0
6137,"[0, 0]",l,0,-5.2429556217032125e-05,3
6138,"[0, 0]",u,0,-4.8734947725056464e-05,0
6139,"[0, 0]",u,0,-4.868621277733141e-05,0
6140,"[0, 0]",u,0,-4.8637526564554074e-05,0
6141,"[0, 0]",u,0,-4.858888903798952e-05,0
6142,"[0, 0]",u,0,-4.854030014895153e-05,0
6143,"[0, 0]",u,0,-4.856808700912444e-05,0
6144,"[0, 0]",r,0,-5.685287902799099e-05,2
6145,"[1, 0]",l,0,-4.465647974670687e-05,3
6146,"[0, 0]",u,0,-4.8519518922115314e-05,0
6147,"[0, 0]",u,0,-4.854599964414608e-05,0
6148,"[0, 0]",r,0,-5.6686258555431445e-05,2
6149,"[1, 0]",l,0,-4.464682894603712e-05,3
6150,"[0, 0]",u,0,-4.8497453644501934e-05,0
6151,"[0, 0]",u,0,-4.844895619085743e-05,0
6152,"[0, 0]",u,0,-4.840050723466657e-05,0
6153,"[0, 0]",u,0,-4.8352106727431906e-05,0
6154,"[0, 0]",u,0,-4.8303754620704474e-05,0
6155,"[0, 0]",u,0,-5.1190530827672294e-05,0
6156,"[0, 0]",d,0,-0.0003708418480172457,1
6157,"[0, 1]",u,0,-1.8317583258581492e-05,0
6158,"[0, 0]",u,0,-5.1139340296844624e-05,0
6159,"[0, 0]",u,0,-5.108820095654778e-05,0
6160,"[0, 0]",u,0,-5.1037112755591233e-05,0
6161,"[0, 0]",u,0,-5.098607564283564e-05,0
6162,"[0, 0]",u,0,-5.093508956719281e-05,0
6163,"[0, 0]",u,0,-5.088415447762561e-05,0
6164,"[0, 0]",u,0,-5.083327032314799e-05,0
6165,"[0, 0]",u,0,-5.078243705282484e-05,0
6166,"[0, 0]",u,0,-5.0731654615772016e-05,0
6167,"[0, 0]",u,0,-5.068092296115624e-05,0
6168,"[0, 0]",u,0,-5.0630242038195084e-05,0
6169,"[0, 0]",u,0,-5.057961179615689e-05,0
6170,"[0, 0]",u,0,-5.052903218436074e-05,0
