,state,action_space,reward,Q,action
563,"[0, 0]",d,0,3.019094285661109e-06,1
564,"[0, 1]",r,0,4.551091502928005e-05,2
565,"[1, 1]",r,0,0.000591813595453865,2
566,"[2, 1]",d,0,0.006783904314947667,1
567,"[2, 2]",r,0,0.055149484540908934,2
568,"[3, 2]",r,1,0.33102824143031945,2
569,"[0, 0]",d,0,3.3985015780680186e-06,1
570,"[0, 1]",r,0,5.038212823807204e-05,2
571,"[1, 1]",r,0,0.0006469505983338553,2
572,"[2, 1]",d,0,0.007212410632666371,1
573,"[2, 2]",r,0,0.05757724386837272,2
574,"[3, 2]",l,0,0.0005181951948153545,3
575,"[2, 2]",r,0,0.05998072560256187,2
576,"[3, 2]",r,1,0.33771795901601626,2
577,"[0, 0]",d,0,3.8179557164299865e-06,1
578,"[0, 1]",r,0,5.5700862340696015e-05,2
579,"[1, 1]",r,0,0.0007053927880445141,2
580,"[2, 1]",d,0,0.007680113056762764,1
581,"[2, 2]",u,0,0.00010985856063760736,0
582,"[2, 1]",d,0,0.008143138456618194,1
583,"[2, 2]",r,0,0.06242037997768039,2
584,"[3, 2]",l,0,0.0010747966626663244,3
585,"[2, 2]",d,0,0.0,1
586,"[2, 3]",r,0,8.100000000000001e-07,2
587,"[3, 3]",r,0,0.0,2
588,"[4, 3]",d,-1,-0.01,1
589,"[0, 0]",d,0,4.281083920331951e-06,1
590,"[0, 1]",r,0,6.149238880968969e-05,2
591,"[1, 1]",r,0,0.0007716271062736327,2
592,"[2, 1]",d,0,0.008623490491851135,1
593,"[2, 2]",r,0,0.06483563780904773,2
594,"[3, 2]",d,0,8.100000000000001e-07,1
595,"[3, 3]",u,0,0.0031285616311441462,0
596,"[3, 2]",r,1,0.3443407794258561,2
597,"[0, 0]",d,0,4.7917045804158384e-06,1
598,"[0, 1]",r,0,6.782210887805549e-05,2
599,"[1, 1]",r,0,0.0008415222496375565,2
600,"[2, 1]",d,0,0.009120776327214053,1
601,"[2, 2]",r,0,0.06728634844578996,2
602,"[3, 2]",r,1,0.35089737163159757,2
603,"[0, 0]",d,0,5.35418651451418e-06,1
